Shift,Start,Duration,Count
Shift_00:00_len_10.5h,00:00,10.5,3
Shift_00:30_len_9.0h,00:30,9.0,1
Shift_00:30_len_10.5h,00:30,10.5,3
Shift_02:00_len_5.0h,02:00,5.0,1
Shift_02:30_len_5.0h,02:30,5.0,1
Shift_03:00_len_8.5h,03:00,8.5,3
Shift_04:00_len_8.5h,04:00,8.5,2
Shift_05:00_len_10.5h,05:00,10.5,1
Shift_07:00_len_10.0h,07:00,10.0,2
Shift_07:30_len_10.5h,07:30,10.5,7
Shift_09:30_len_10.0h,09:30,10.0,1
Shift_10:30_len_8.0h,10:30,8.0,1
Shift_13:30_len_8.5h,13:30,8.5,6
Shift_14:00_len_5.0h,14:00,5.0,2
Shift_14:00_len_8.5h,14:00,8.5,1
Shift_14:30_len_5.0h,14:30,5.0,5
Shift_15:00_len_5.0h,15:00,5.0,1
Shift_15:00_len_9.0h,15:00,9.0,3
Shift_15:30_len_8.0h,15:30,8.0,1
Shift_15:30_len_9.5h,15:30,9.5,2
