Occupation,Day,Shift,Duration,Count
Occ1,Monday,0530-0930,4.0,1
Occ1,Monday,0530-1000,4.5,2
Occ1,Monday,0530-1530,10.0,1
Occ1,Monday,0530-1600,10.5,1
Occ1,Monday,0530-1630,11.0,2
Occ1,Monday,0630-1030,4.0,1
Occ1,Monday,0630-1100,4.5,2
Occ1,Monday,0630-1130,5.0,1
Occ1,Monday,0700-1100,4.0,1
Occ1,Monday,0700-1730,10.5,1
Occ1,Monday,0730-1800,10.5,2
Occ1,Monday,0800-1700,9.0,2
Occ1,Monday,0800-1730,9.5,1
Occ1,Monday,0830-1930,11.0,1
Occ1,Monday,1300-2030,7.5,1
Occ1,Monday,1330-1900,5.5,1
Occ1,Monday,1400-1830,4.5,2
Occ1,Tuesday,0530-0930,4.0,1
Occ1,Tuesday,0530-1000,4.5,1
Occ1,Tuesday,0530-1030,5.0,2
Occ1,Tuesday,0530-1600,10.5,1
Occ1,Tuesday,0530-1630,11.0,3
Occ1,Tuesday,0630-1030,4.0,1
Occ1,Tuesday,0700-1100,4.0,1
Occ1,Tuesday,0700-1130,4.5,2
Occ1,Tuesday,0700-1530,8.5,1
Occ1,Tuesday,0700-1800,11.0,1
Occ1,Tuesday,0730-1700,9.5,1
Occ1,Tuesday,0800-1700,9.0,1
Occ1,Tuesday,0800-1830,10.5,1
Occ1,Tuesday,0800-1900,11.0,1
Occ1,Tuesday,0900-2000,11.0,1
Occ1,Tuesday,1230-1930,7.0,1
Occ1,Tuesday,1300-1700,4.0,1
Occ1,Tuesday,1330-1800,4.5,1
Occ1,Tuesday,1430-1830,4.0,1
Occ1,Wednesday,0500-0900,4.0,1
Occ1,Wednesday,0600-1000,4.0,1
Occ1,Wednesday,0600-1130,5.5,1
Occ1,Wednesday,0600-1200,6.0,2
Occ1,Wednesday,0600-1600,10.0,2
Occ1,Wednesday,0600-1700,11.0,1
Occ1,Wednesday,0630-1030,4.0,3
Occ1,Wednesday,0700-1100,4.0,1
Occ1,Wednesday,0700-1530,8.5,1
Occ1,Wednesday,0700-1800,11.0,1
Occ1,Wednesday,0730-1730,10.0,2
Occ1,Wednesday,0800-1630,8.5,1
Occ1,Wednesday,0800-1730,9.5,1
Occ1,Wednesday,0830-1930,11.0,1
Occ1,Wednesday,1230-2030,8.0,1
Occ1,Wednesday,1300-1700,4.0,1
Occ1,Wednesday,1330-1900,5.5,1
Occ1,Wednesday,1400-1800,4.0,1
Occ1,Wednesday,1400-1900,5.0,1
Occ1,Thursday,0530-0930,4.0,1
Occ1,Thursday,0530-1000,4.5,2
Occ1,Thursday,0530-1530,10.0,1
Occ1,Thursday,0530-1600,10.5,2
Occ1,Thursday,0530-1630,11.0,2
Occ1,Thursday,0630-1030,4.0,1
Occ1,Thursday,0630-1730,11.0,2
Occ1,Thursday,0700-1100,4.0,2
Occ1,Thursday,0730-1130,4.0,2
Occ1,Thursday,0730-1700,9.5,1
Occ1,Thursday,0800-1900,11.0,1
Occ1,Thursday,0830-1800,9.5,2
Occ1,Thursday,1230-2030,8.0,1
Occ1,Thursday,1300-2000,7.0,1
Occ1,Thursday,1330-1900,5.5,1
Occ1,Thursday,1400-1830,4.5,1
Occ1,Friday,0600-1000,4.0,3
Occ1,Friday,0600-1100,5.0,2
Occ1,Friday,0600-1630,10.5,2
Occ1,Friday,0630-1130,5.0,1
Occ1,Friday,0630-1600,9.5,1
Occ1,Friday,0630-1730,11.0,2
Occ1,Friday,0700-1200,5.0,1
Occ1,Friday,0700-1630,9.5,1
Occ1,Friday,0700-1800,11.0,1
Occ1,Friday,0730-1530,8.0,1
Occ1,Friday,0800-1700,9.0,2
Occ1,Friday,0830-1900,10.5,1
Occ1,Friday,1230-2030,8.0,1
Occ1,Friday,1300-1900,6.0,1
Occ1,Friday,1400-1800,4.0,1
Occ1,Friday,1400-1930,5.5,1
Occ1,Saturday,0530-0930,4.0,2
Occ1,Saturday,0530-1000,4.5,1
Occ1,Saturday,0530-1530,10.0,1
Occ1,Saturday,0530-1600,10.5,1
Occ1,Saturday,0530-1630,11.0,2
Occ1,Saturday,0630-1030,4.0,1
Occ1,Saturday,0630-1100,4.5,2
Occ1,Saturday,0700-1700,10.0,1
Occ1,Saturday,0700-1730,10.5,3
Occ1,Saturday,0730-1130,4.0,2
Occ1,Saturday,0800-1700,9.0,1
Occ1,Saturday,0800-1830,10.5,1
Occ1,Saturday,0830-1730,9.0,1
Occ1,Saturday,1300-2000,7.0,2
Occ1,Saturday,1400-1830,4.5,1
Occ1,Saturday,1400-1900,5.0,1
Occ1,Sunday,0530-0930,4.0,1
Occ1,Sunday,0530-1000,4.5,1
Occ1,Sunday,0530-1030,5.0,1
Occ1,Sunday,0530-1230,7.0,1
Occ1,Sunday,0530-1530,10.0,1
Occ1,Sunday,0530-1600,10.5,2
Occ1,Sunday,0530-1630,11.0,1
Occ1,Sunday,0630-1030,4.0,2
Occ1,Sunday,0700-1100,4.0,1
Occ1,Sunday,0700-1130,4.5,1
Occ1,Sunday,0700-1700,10.0,1
Occ1,Sunday,0700-1800,11.0,1
Occ1,Sunday,0730-1200,4.5,1
Occ1,Sunday,0800-1730,9.5,2
Occ1,Sunday,0800-1900,11.0,1
Occ1,Sunday,0830-1700,8.5,1
Occ1,Sunday,1300-2000,7.0,2
Occ1,Sunday,1330-1800,4.5,1
Occ1,Sunday,1400-1900,5.0,1
Occ1,Sunday,1430-1830,4.0,1
Occ2,Monday,0530-0930,4.0,1
Occ2,Monday,0530-1400,8.5,1
Occ2,Monday,0530-1530,10.0,1
Occ2,Monday,0530-1630,11.0,1
Occ2,Monday,0630-1700,10.5,1
Occ2,Monday,0700-1100,4.0,1
Occ2,Monday,0730-1130,4.0,1
Occ2,Monday,0800-1800,10.0,1
Occ2,Monday,1330-1730,4.0,1
Occ2,Monday,1430-1900,4.5,1
Occ2,Monday,1430-2030,6.0,1
Occ2,Tuesday,0530-1000,4.5,1
Occ2,Tuesday,0530-1630,11.0,2
Occ2,Tuesday,0630-1030,4.0,1
Occ2,Tuesday,0630-1100,4.5,1
Occ2,Tuesday,0730-1530,8.0,1
Occ2,Tuesday,0730-1800,10.5,1
Occ2,Tuesday,0800-1730,9.5,1
Occ2,Tuesday,1330-2000,6.5,1
Occ2,Tuesday,1430-1830,4.0,1
Occ2,Wednesday,0600-1000,4.0,1
Occ2,Wednesday,0600-1130,5.5,1
Occ2,Wednesday,0600-1530,9.5,1
Occ2,Wednesday,0630-1030,4.0,1
Occ2,Wednesday,0630-1630,10.0,1
Occ2,Wednesday,0700-1400,7.0,1
Occ2,Wednesday,0730-1800,10.5,1
Occ2,Wednesday,0800-1700,9.0,1
Occ2,Wednesday,1330-1730,4.0,1
Occ2,Wednesday,1430-1900,4.5,1
Occ2,Wednesday,1430-2030,6.0,1
Occ2,Thursday,0530-1000,4.5,1
Occ2,Thursday,0530-1130,6.0,1
Occ2,Thursday,0530-1500,9.5,1
Occ2,Thursday,0530-1630,11.0,1
