time,required,actual
00:00,5,5.0
00:05,5,5.0
00:10,5,5.0
00:15,5,5.0
00:20,5,5.0
00:25,5,5.0
00:30,5,9.0
00:35,5,9.0
00:40,5,9.0
00:45,5,9.0
00:50,5,9.0
00:55,5,9.0
01:00,5,7.0
01:05,5,7.0
01:10,5,7.0
01:15,6,7.0
01:20,6,7.0
01:25,6,7.0
01:30,6,7.0
01:35,6,7.0
01:40,6,7.0
01:45,6,7.0
01:50,7,7.0
01:55,7,7.0
02:00,7,8.0
02:05,7,8.0
02:10,7,8.0
02:15,8,8.0
02:20,8,8.0
02:25,8,8.0
02:30,8,9.0
02:35,8,9.0
02:40,9,9.0
02:45,9,9.0
02:50,9,9.0
02:55,9,9.0
03:00,10,12.0
03:05,10,12.0
03:10,10,12.0
03:15,10,12.0
03:20,10,12.0
03:25,11,12.0
03:30,11,12.0
03:35,11,12.0
03:40,11,12.0
03:45,11,12.0
03:50,12,12.0
03:55,12,12.0
04:00,12,14.0
04:05,12,14.0
04:10,12,14.0
04:15,13,14.0
04:20,13,14.0
04:25,13,14.0
04:30,13,14.0
04:35,13,14.0
04:40,13,14.0
04:45,14,14.0
04:50,14,14.0
04:55,14,14.0
05:00,14,15.0
05:05,14,15.0
05:10,14,15.0
05:15,14,15.0
05:20,14,15.0
05:25,14,15.0
05:30,14,15.0
05:35,15,15.0
05:40,15,15.0
05:45,15,15.0
05:50,15,15.0
05:55,15,15.0
06:00,15,15.0
06:05,15,15.0
06:10,15,15.0
06:15,15,15.0
06:20,15,15.0
06:25,15,15.0
06:30,15,15.0
06:35,15,15.0
06:40,15,15.0
06:45,15,15.0
06:50,15,15.0
06:55,15,15.0
07:00,15,16.0
07:05,16,16.0
07:10,16,16.0
07:15,16,16.0
07:20,16,16.0
07:25,16,16.0
07:30,16,22.0
07:35,16,22.0
07:40,17,22.0
07:45,17,22.0
07:50,17,22.0
07:55,17,22.0
08:00,18,22.0
08:05,18,22.0
08:10,18,22.0
08:15,18,22.0
08:20,19,22.0
08:25,19,22.0
08:30,19,22.0
08:35,20,22.0
08:40,20,22.0
08:45,20,22.0
08:50,21,22.0
08:55,21,22.0
09:00,21,22.0
09:05,22,22.0
09:10,22,22.0
09:15,22,22.0
09:20,22,22.0
09:25,22,22.0
09:30,22,22.0
09:35,22,22.0
09:40,22,22.0
09:45,22,22.0
09:50,22,22.0
09:55,22,22.0
10:00,22,22.0
10:05,22,22.0
10:10,21,22.0
10:15,21,22.0
10:20,21,22.0
10:25,20,22.0
10:30,20,20.0
10:35,19,20.0
10:40,19,20.0
10:45,18,20.0
10:50,18,20.0
10:55,17,20.0
11:00,17,17.0
11:05,16,17.0
11:10,16,17.0
11:15,15,17.0
11:20,14,17.0
11:25,14,17.0
11:30,13,14.0
11:35,13,14.0
11:40,12,14.0
11:45,12,14.0
11:50,11,14.0
11:55,11,14.0
12:00,11,14.0
12:05,10,14.0
12:10,10,14.0
12:15,10,14.0
12:20,10,14.0
12:25,10,14.0
12:30,10,12.0
12:35,9,12.0
12:40,10,12.0
12:45,10,12.0
12:50,10,12.0
12:55,10,12.0
13:00,10,12.0
13:05,10,12.0
13:10,11,12.0
13:15,11,12.0
13:20,12,12.0
13:25,12,12.0
13:30,13,18.0
13:35,13,18.0
13:40,14,18.0
13:45,15,18.0
13:50,15,18.0
13:55,16,18.0
14:00,17,21.0
14:05,17,21.0
14:10,18,21.0
14:15,19,21.0
14:20,20,21.0
14:25,21,21.0
14:30,22,26.0
14:35,22,26.0
14:40,23,26.0
14:45,24,26.0
14:50,25,26.0
14:55,26,26.0
15:00,26,30.0
15:05,27,30.0
15:10,28,30.0
15:15,28,30.0
15:20,29,30.0
15:25,30,30.0
15:30,30,32.0
15:35,31,32.0
15:40,31,32.0
15:45,31,32.0
15:50,32,32.0
15:55,32,32.0
16:00,32,32.0
16:05,32,32.0
16:10,32,32.0
16:15,32,32.0
16:20,32,32.0
16:25,32,32.0
16:30,32,32.0
16:35,32,32.0
16:40,31,32.0
16:45,31,32.0
16:50,31,32.0
16:55,30,32.0
17:00,30,30.0
17:05,29,30.0
17:10,29,30.0
17:15,28,30.0
17:20,28,30.0
17:25,27,30.0
17:30,27,30.0
17:35,26,30.0
17:40,25,30.0
17:45,25,30.0
17:50,24,30.0
17:55,24,30.0
18:00,23,23.0
18:05,22,23.0
