Personnel_ID,Day,Shift,Start,End,duration_intervals,start_idx
EMP_001,Monday,0000-1100,00:00,11:00,132,0
EMP_002,Monday,0000-1100,00:00,11:00,132,0
EMP_003,Monday,0000-1100,00:00,11:00,132,0
EMP_004,Monday,0000-1100,00:00,11:00,132,0
EMP_005,Monday,0000-1100,00:00,11:00,132,0
EMP_006,Monday,0300-1400,03:00,14:00,132,36
EMP_007,Monday,0300-1400,03:00,14:00,132,36
EMP_008,Monday,0300-1400,03:00,14:00,132,36
EMP_009,Monday,0700-1800,07:00,18:00,132,84
EMP_010,Monday,0700-1800,07:00,18:00,132,84
EMP_011,Monday,0700-1800,07:00,18:00,132,84
EMP_012,Monday,0700-1800,07:00,18:00,132,84
EMP_013,Monday,0700-1800,07:00,18:00,132,84
EMP_014,Monday,0700-1800,07:00,18:00,132,84
EMP_015,Monday,0700-1800,07:00,18:00,132,84
EMP_016,Monday,0800-1900,08:00,19:00,132,96
EMP_017,Monday,0800-1900,08:00,19:00,132,96
EMP_018,Monday,0800-1900,08:00,19:00,132,96
EMP_019,Monday,0800-1900,08:00,19:00,132,96
EMP_020,Monday,0800-1900,08:00,19:00,132,96
EMP_021,Monday,0800-1900,08:00,19:00,132,96
EMP_022,Monday,0800-1900,08:00,19:00,132,96
EMP_023,Monday,0800-1900,08:00,19:00,132,96
EMP_024,Monday,0800-1900,08:00,19:00,132,96
EMP_025,Monday,1000-2100,10:00,21:00,132,120
EMP_026,Monday,1000-2100,10:00,21:00,132,120
EMP_027,Monday,1000-2100,10:00,21:00,132,120
EMP_028,Monday,1000-2100,10:00,21:00,132,120
EMP_029,Monday,1000-2100,10:00,21:00,132,120
EMP_030,Monday,1000-2100,10:00,21:00,132,120
EMP_031,Monday,1000-2100,10:00,21:00,132,120
EMP_032,Monday,1000-2100,10:00,21:00,132,120
EMP_033,Monday,1000-2100,10:00,21:00,132,120
EMP_034,Monday,1000-2100,10:00,21:00,132,120
EMP_035,Monday,1000-2100,10:00,21:00,132,120
