Day,Time,Arrivals,Departures,Shuttles_In,Shuttles_Out,Total_Shuttles
Monday,00:30,4,0,1,0,1
Monday,01:30,0,6,0,1,1
Monday,02:00,1,0,1,0,1
Monday,02:30,4,0,1,0,1
Monday,07:00,7,0,1,0,1
Monday,07:30,0,4,0,1,1
Monday,08:00,9,0,1,0,1
Monday,09:00,7,0,1,0,1
Monday,11:00,7,0,1,0,1
Monday,12:30,0,5,0,1,1
Monday,14:30,6,0,1,0,1
Monday,18:00,0,7,0,1,1
Monday,19:00,0,9,0,1,1
Monday,20:00,0,7,0,1,1
Monday,21:30,0,7,0,1,1
Tuesday,00:00,0,3,0,1,1
Tuesday,01:30,9,2,1,1,2
Tuesday,06:30,1,0,1,0,1
Tuesday,07:00,1,1,1,1,2
Tuesday,07:30,5,0,1,0,1
Tuesday,08:30,5,0,1,0,1
Tuesday,09:00,10,0,1,0,1
Tuesday,11:00,9,9,1,1,2
Tuesday,13:30,3,0,1,0,1
Tuesday,14:30,2,0,1,0,1
Tuesday,17:30,0,1,0,1,1
Tuesday,18:00,0,1,0,1,1
Tuesday,18:30,0,5,0,1,1
Tuesday,19:00,0,5,0,1,1
Tuesday,20:00,1,10,1,1,2
Tuesday,22:00,0,9,0,1,1
Wednesday,00:00,0,8,0,1,1
Wednesday,01:00,8,0,1,0,1
Wednesday,07:00,2,0,1,0,1
Wednesday,07:30,5,1,1,1,2
Wednesday,08:30,12,0,1,0,1
Wednesday,10:00,9,0,1,0,1
Wednesday,10:30,0,9,0,1,1
Wednesday,11:30,0,8,0,1,1
Wednesday,13:00,8,0,1,0,1
Wednesday,17:30,0,2,0,1,1
Wednesday,18:30,0,5,0,1,1
Wednesday,19:30,0,12,0,1,1
Wednesday,21:00,1,9,1,1,2
Wednesday,23:30,9,0,1,0,1
Thursday,07:00,3,0,1,0,1
Thursday,07:30,4,0,1,0,1
Thursday,08:00,5,0,1,0,1
Thursday,08:30,0,3,0,1,1
Thursday,09:00,8,0,1,0,1
Thursday,10:30,12,0,1,0,1
Thursday,15:00,4,0,1,0,1
Thursday,18:00,0,3,0,1,1
Thursday,18:30,0,4,0,1,1
Thursday,19:00,0,5,0,1,1
Thursday,20:00,0,8,0,1,1
Thursday,21:30,3,12,1,1,2
Thursday,23:30,0,4,0,1,1
Friday,00:30,6,0,1,0,1
Friday,01:00,0,7,0,1,1
Friday,07:00,8,0,1,0,1
Friday,08:30,4,0,1,0,1
Friday,09:00,12,0,1,0,1
Friday,11:30,5,6,1,1,2
Friday,14:00,7,0,1,0,1
Friday,18:00,0,8,0,1,1
Friday,18:30,0,4,0,1,1
Friday,20:00,0,12,0,1,1
Friday,22:30,0,5,0,1,1
Saturday,00:30,10,0,1,0,1
Saturday,07:00,3,0,1,0,1
Saturday,07:30,4,0,1,0,1
Saturday,08:00,5,8,1,1,2
Saturday,09:00,5,0,1,0,1
Saturday,09:30,7,0,1,0,1
Saturday,11:30,12,10,1,1,2
Saturday,18:00,0,3,0,1,1
Saturday,18:30,0,4,0,1,1
Saturday,19:00,0,5,0,1,1
Saturday,19:30,0,5,0,1,1
Saturday,20:30,0,7,0,1,1
Saturday,22:30,8,12,1,1,2
Sunday,01:30,0,7,0,1,1
Sunday,05:00,1,0,1,0,1
Sunday,06:30,1,0,1,0,1
Sunday,07:30,13,0,1,0,1
Sunday,08:30,8,0,1,0,1
Sunday,09:30,5,0,1,0,1
Sunday,10:00,2,0,1,0,1
Sunday,14:30,6,1,1,1,2
Sunday,16:00,1,0,1,0,1
Sunday,16:30,0,1,0,1,1
Sunday,18:30,0,13,0,1,1
Sunday,19:30,0,8,0,1,1
Sunday,20:30,0,5,0,1,1
Sunday,21:00,0,2,0,1,1
