Worker_ID,Hours,Gap_to_Minimum,Days_Worked,Last_Shift_Day
EMP_073,11.0,24.0,1,6
EMP_074,11.0,24.0,1,6
EMP_075,11.0,24.0,1,6
EMP_076,11.0,24.0,1,6
EMP_077,11.0,24.0,1,6
EMP_078,11.0,24.0,1,6
EMP_079,11.0,24.0,1,6
EMP_080,11.0,24.0,1,6
EMP_081,11.0,24.0,1,6
EMP_082,11.0,24.0,1,6
EMP_083,11.0,24.0,1,6
EMP_084,11.0,24.0,1,6
EMP_085,11.0,24.0,1,6
EMP_086,11.0,24.0,1,6
EMP_087,11.0,24.0,1,6
EMP_088,11.0,24.0,1,6
EMP_089,11.0,24.0,1,6
EMP_090,11.0,24.0,1,6
EMP_091,11.0,24.0,1,6
EMP_092,11.0,24.0,1,6
EMP_093,11.0,24.0,1,6
EMP_094,11.0,24.0,1,6
EMP_095,11.0,24.0,1,6
EMP_096,11.0,24.0,1,6
EMP_097,10.0,25.0,1,6
EMP_098,10.0,25.0,1,6
EMP_099,10.0,25.0,1,6
EMP_100,10.0,25.0,1,6
EMP_102,11.0,24.0,1,6
