time,required_headcount
00:00,5
00:05,5
00:10,5
00:15,5
00:20,5
00:25,5
00:30,5
00:35,5
00:40,5
00:45,5
00:50,5
00:55,5
01:00,5
01:05,5
01:10,5
01:15,6
01:20,6
01:25,6
01:30,6
01:35,6
01:40,6
01:45,6
01:50,7
01:55,7
02:00,7
02:05,7
02:10,7
02:15,8
02:20,8
02:25,8
02:30,8
02:35,8
02:40,9
02:45,9
02:50,9
02:55,9
03:00,10
03:05,10
03:10,10
03:15,10
03:20,10
03:25,11
03:30,11
03:35,11
03:40,11
03:45,11
03:50,12
03:55,12
04:00,12
04:05,12
04:10,12
04:15,13
04:20,13
04:25,13
04:30,13
04:35,13
04:40,13
04:45,14
04:50,14
04:55,14
05:00,14
05:05,14
05:10,14
05:15,14
05:20,14
05:25,14
05:30,14
05:35,15
05:40,15
05:45,15
05:50,15
05:55,15
06:00,15
06:05,15
06:10,15
06:15,15
06:20,15
06:25,15
06:30,15
06:35,15
06:40,15
06:45,15
06:50,15
06:55,15
07:00,15
07:05,16
07:10,16
07:15,16
07:20,16
07:25,16
07:30,16
07:35,16
07:40,17
07:45,17
07:50,17
07:55,17
08:00,18
08:05,18
08:10,18
08:15,18
08:20,19
08:25,19
08:30,19
08:35,20
08:40,20
08:45,20
08:50,21
08:55,21
09:00,21
09:05,22
09:10,22
09:15,22
09:20,22
09:25,22
09:30,22
09:35,22
09:40,22
09:45,22
09:50,22
09:55,22
10:00,22
10:05,22
10:10,21
10:15,21
10:20,21
10:25,20
10:30,20
10:35,19
10:40,19
10:45,18
10:50,18
10:55,17
11:00,17
11:05,16
11:10,16
11:15,15
11:20,14
11:25,14
11:30,13
11:35,13
11:40,12
11:45,12
11:50,11
11:55,11
12:00,11
12:05,10
12:10,10
12:15,10
12:20,10
12:25,10
12:30,10
12:35,9
12:40,10
12:45,10
12:50,10
12:55,10
13:00,10
13:05,10
13:10,11
13:15,11
13:20,12
13:25,12
13:30,13
13:35,13
13:40,14
13:45,15
13:50,15
13:55,16
14:00,17
14:05,17
14:10,18
14:15,19
14:20,20
14:25,21
14:30,22
14:35,22
14:40,23
14:45,24
14:50,25
14:55,26
15:00,26
15:05,27
15:10,28
15:15,28
15:20,29
15:25,30
15:30,30
15:35,31
15:40,31
15:45,31
15:50,32
15:55,32
16:00,32
16:05,32
16:10,32
16:15,32
16:20,32
16:25,32
16:30,32
16:35,32
16:40,31
16:45,31
16:50,31
16:55,30
17:00,30
17:05,29
17:10,29
17:15,28
17:20,28
17:25,27
17:30,27
17:35,26
17:40,25
17:45,25
17:50,24
17:55,24
18:00,23
18:05,22
18:10,22
18:15,21
18:20,21
18:25,20
18:30,20
18:35,19
18:40,19
18:45,18
18:50,18
18:55,17
19:00,17
19:05,16
19:10,16
19:15,16
19:20,15
19:25,15
19:30,14
19:35,14
19:40,14
19:45,13
19:50,13
19:55,13
20:00,13
20:05,12
20:10,12
20:15,12
20:20,11
20:25,11
20:30,11
20:35,11
20:40,10
20:45,10
20:50,10
20:55,10
21:00,9
21:05,9
21:10,9
21:15,9
21:20,8
21:25,8
21:30,8
21:35,8
21:40,8
21:45,7
21:50,7
21:55,7
22:00,7
22:05,7
22:10,6
22:15,6
22:20,6
22:25,6
22:30,6
22:35,6
22:40,6
22:45,5
22:50,5
22:55,5
23:00,5
23:05,5
23:10,5
23:15,5
23:20,5
23:25,5
23:30,5
23:35,5
23:40,5
23:45,5
23:50,5
23:55,5
